title,teacher,Quiz,Exam,Report,Project,Participation,Other,total,is100,weeks,alerts
COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ＋＋／Programming Language C++,彌冨　仁（Hitoshi IYATOMI）,0,0,0,0,0,100.0,100.0,TRUE,14,
COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ＋＋／Programming Language C++,和佐　州洋（Kunihiro WASA）,40.0,60.0,0,0,0,0,100.0,TRUE,14,
MAT200XE（数学 / Mathematics 200）数論／Number Theory,安田　幹（Kan YASUDA）,0,50.0,50.0,0,0,50.0,150.0,FALSE,14,評価割合の合計が100%ではありません（合計 150.0%）。
COT200XE（計算基盤 / Computing technologies 200）プログラミング言語ＪＡＶＡ／Programming Language JAVA,山口　大輔（Daisuke YAMAGUCHI）,50.0,0,50.0,0,0,0,100.0,TRUE,14,
COT200XE（計算基盤 / Computing technologies 200）プログラミング言語ＪＡＶＡ／Programming Language JAVA,山口　大輔（Daisuke YAMAGUCHI）,50.0,0,50.0,0,0,0,100.0,TRUE,14,
OTR300XE（その他 / Others 300）ＰＢＬ／Project Based Learning,彌冨　仁、尾川　浩一、金井　敦、品川　満、平原　誠、三橋　秀生、李　磊、周　金佳、和佐　州洋、山岸　昌夫,0,0,0,0,0,0,0,FALSE,28,評価割合の記載が抽出できませんでした（LLM出力が空）。 | 評価割合の合計が100%ではありません（合計 0%）。
OTR300XE（その他 / Others 300）インターンシップ／Internship Education Program,和田　幸一（Koichi WADA）,0,0,0.0,0,0,0,0.0,FALSE,14,評価割合の合計が100%ではありません（合計 0.0%）。
BSP100XE（初年次教育、学部導入教育及びリテラシー教育 / Basic study practice 100）情報工学入門／Introduction to information engineering,彌冨　仁、尾川　浩一、金井　敦、品川　満、平原　誠、三橋　秀生、李　磊、和田　幸一、周　金佳、和佐　州洋、山岸　昌夫,0,0,0,0,0,0,0,FALSE,14,評価割合の記載が抽出できませんでした（LLM出力が空）。 | 評価割合の合計が100%ではありません（合計 0%）。
PRI100XE（情報学基礎 / Principles of informatics 100）集合と命題論理／Propositional logic and set theory,阿部　吉弘（Yoshihiro ABE）,0,0,0,0,0,0,0,FALSE,14,評価割合の記載が抽出できませんでした（LLM出力が空）。 | 評価割合の合計が100%ではありません（合計 0%）。
PRI200XE（情報学基礎 / Principles of informatics 200）データ構造とアルゴリズム／Data structure and algorithm,李　磊（Lilei LILEI）,0,100.0,0,0,0,0,100.0,TRUE,14,
HUI200XE（人間情報学 / Human informatics 200）セキュリティ概論／Overview of network security,金井　敦（Atsushi KANAI）,0,70.0,0,0,0,0,70.0,FALSE,14,評価割合の合計が100%ではありません（合計 70.0%）。
ELC100XE（電気電子工学 / Electrical and electronic engineering 100）基礎電気回路（情報）／Fundamental of electrical circuits,品川　満（Mitsuru SHINAGAWA）,0,70.0,0,0,0,30.0,100.0,TRUE,14,
COT100XE（計算基盤 / Computing technologies 100）組込システムの基礎／Fundamental of embedded systems,足立　正二（Shoji ADACHI）,30.0,0,70.0,0,0,0,100.0,TRUE,14,
COT200XE（計算基盤 / Computing technologies 200）計算機アーキテクチャ／Computer architecture,和田　幸一（Koichi WADA）,40.0,60.0,0,0,0,0,100.0,TRUE,14,
COT200XE（計算基盤 / Computing technologies 200）計算機アーキテクチャ演習／Exercises in computer architecture,和田　幸一（Koichi WADA）,0,0,100.0,0,0,0,100.0,TRUE,14,
HUI100XE（人間情報学 / Human informatics 100）論理回路／Basic logic circuitry,枚田　明彦（Akihiko HIRATA）,20.0,80.0,0,0,0,0,100.0,TRUE,14,
